Date,Open,High,Low,Close,Volume
3-Jun-15,248.20,250.72,247.01,248.99,1781505
2-Jun-15,248.92,249.40,246.30,248.35,2134809
1-Jun-15,251.41,251.60,247.47,249.45,2505057
29-May-15,251.00,252.87,249.43,250.80,3789283
28-May-15,247.03,251.80,245.05,251.45,3647283
27-May-15,248.51,249.50,245.55,247.43,3408200
26-May-15,247.68,252.00,246.50,247.46,3498682
22-May-15,245.38,248.60,245.01,247.73,2223089
21-May-15,243.03,246.62,242.36,245.62,1970643
20-May-15,247.13,247.74,241.37,244.35,3755569
19-May-15,248.43,251.00,246.15,247.14,3674231
18-May-15,247.00,249.90,246.00,248.75,3353212
15-May-15,243.93,249.40,242.50,248.84,4527563
14-May-15,244.82,244.89,241.25,244.10,2895936
13-May-15,247.61,248.30,242.25,243.18,5440165
12-May-15,240.11,246.35,238.19,244.74,6363429
11-May-15,236.29,242.88,235.31,239.49,5672262
8-May-15,235.99,238.41,233.70,236.61,4668236
7-May-15,221.00,237.48,220.25,236.80,9455909
6-May-15,234.10,234.47,228.20,230.43,5270933
5-May-15,237.76,239.50,229.13,232.95,5796873
4-May-15,228.18,234.73,227.11,230.51,4434596
1-May-15,229.94,231.77,220.40,226.03,5281689
30-Apr-15,230.39,232.89,225.17,226.05,3911857
29-Apr-15,230.05,234.97,227.63,232.45,3936077
28-Apr-15,234.75,235.50,228.03,230.48,6085379
27-Apr-15,222.56,238.75,222.00,231.55,11672627
24-Apr-15,220.50,220.80,218.01,218.42,2427843
